RA,Dec,Rplanet,P,S/SEarth,K,Rstar,Teff,Vmag,Imag,Jmag,Kmag,Dist,Dil,log10,SNR,Mult.
19.11,-14.93,1.337,1.863,19.5,4.221,0.2404,3327,14.08,11.71,10.38,9.621,2,1.006,-4.219,18.56,3
19.16,-4.038,0.9995,2.04,98.19,0.7768,0.5403,3990,10.97,9.312,8.321,7.514,2.25,1.001,-4.219,7.891,3
19.72,21.45,2.03,2.87,17.16,4.954,0.3183,3434,14.07,11.83,10.57,9.803,2.9,1,-4.045,20.49,1
19.74,-4.823,2.283,9.863,12.01,2.531,0.5403,3990,10.97,9.312,8.321,7.514,2.25,1,-4.541,24.26,3
19.8,-5.749,2.075,5.633,3.031,6.236,0.1894,3242,16.75,14.24,12.85,12.08,3.85,1.157,-4.511,7.382,2
19.99,21.05,3.492,7.232,3.093,7.88,0.2358,3309,15.74,13.33,11.99,11.23,3.55,1,-3.525,28.93,2
20.85,-29.24,2.106,3.568,22.41,3.923,0.4227,3596,14.46,12.39,11.22,10.42,4.3,1,-4.219,9.619,2
21.17,-38.09,3.524,2.846,17.46,8.359,0.3183,3432,14.12,11.88,10.62,9.856,2.95,1,-3.369,23.15,3
21.47,43.91,2.602,1.438,3380,3.408,1.295,6237,9.408,8.846,8.441,8.168,5.5,1.002,-4.369,15.99,1
21.51,-46.16,2.424,4.004,15.87,4.549,0.3838,3547,13.03,10.92,9.727,8.947,2.55,1,-3.95,19.35,3
21.65,-83.95,1.677,3.462,240.4,2.079,0.7835,5272,10.65,9.805,9.191,8.716,4.75,1.001,-4.523,10.85,1
21.71,-22.47,2.204,4.548,179,2.36,0.8035,5346,10.02,9.196,8.601,8.146,4.25,1.009,-4.595,13.2,0
21.73,-12.55,3.108,6.853,55.63,3.188,0.689,4799,12,10.9,10.18,9.552,5.2,1,-4.669,16.48,1
21.83,-29.08,2.704,6.843,9.406,3.985,0.4227,3596,14.46,12.39,11.22,10.42,4.3,1,-4.457,10.17,2
21.95,-1.535,3.952,9.412,275.6,2.471,1.321,6310,8.842,8.286,7.901,7.653,5.05,1,-4.413,21.48,1
22.36,-51.26,1.41,9.66,2.248,2.847,0.2483,3334,15.35,12.98,11.66,10.89,3.35,1.005,-3.622,7.752,2
22.45,-74.16,7.507,2.07,129.1,12.2,0.595,4147,13.63,12.09,11.14,10.33,5.4,1.004,-4.008,146.8,0
22.92,-4.259,1.657,1.712,354.7,2.772,0.6908,4815,11.68,10.56,9.837,9.218,4.85,1,-4.788,9.016,1
22.97,24.89,2.142,5.87,2.752,6.571,0.1829,3235,16.38,13.87,12.47,11.7,3.4,1.037,-4.35,11.51,2
23.94,-57.97,1.679,21.15,9.71,1.279,0.6467,4622,10.22,9.017,8.235,7.559,3,1.002,-4.815,13.62,1
23.95,-10.24,2.173,7.025,15.5,2.822,0.5152,3849,12.74,10.94,9.884,9.07,3.6,1,-4.578,14.27,1
24.05,31.49,2.718,20.99,10.68,1.952,0.6696,4672,12.3,11.11,10.34,9.675,5.2,1,-4.637,11.08,1
24.92,-69.3,2.611,6.957,13.06,3.5,0.4769,3781,10.67,8.826,7.756,6.956,1.25,1.005,-4.541,56.27,2
24.96,34.16,2.271,6.861,6.507,3.693,0.356,3500,14.86,12.7,11.47,10.69,4.1,1.221,-3.52,8.801,1
25.17,-29.77,1.714,2.735,9.7,5.973,0.2153,3282,15.63,13.18,11.82,11.06,3.15,1,-4.456,12.72,3
25.33,-17.78,1.974,3.949,9.83,4.342,0.3019,3412,15,12.74,11.46,10.7,3.7,1.002,-3.525,10.6,3
25.61,-81.31,2.285,15.68,1.874,3.013,0.3306,3447,15.32,13.09,11.83,11.05,4.25,1.034,-3.499,10.23,1
26.2,-68.7,1.337,1.35,115.7,2.769,0.4793,3768,11.75,9.886,8.805,8.002,2.3,1,-4.541,22.67,3
26.39,-28.32,2.41,7.46,4.56,4.221,0.3121,3425,15.3,13.04,11.77,11,4.05,1,-4.32,12.6,2
26.93,1.773,2.28,14.14,1.619,3.602,0.2772,3381,14.47,12.16,10.87,10.11,2.85,1,-4.329,11.81,3
27.14,51.17,9.025,16.67,36.32,5.324,0.8932,5333,8.47,7.635,7.047,6.607,2.95,1.006,-4.855,271.7,1
27.19,-67.08,10.08,35.38,27.49,4.247,1.031,6067,9.347,8.737,8.298,7.994,4.8,1.004,-3.694,54.54,1
27.33,-36.15,3.877,16.38,106.3,2.181,1.19,6180,9.09,8.507,8.09,7.808,4.95,1,-4.155,14.81,1
27.37,-71.59,1.488,2.443,8.402,6.121,0.1953,3215,15.89,13.41,12.02,11.28,3.45,1.012,-4.427,14.46,3
27.43,60.54,2.267,5.679,4.628,5.287,0.2509,3338,15.41,13.05,11.73,10.97,3.45,1.677,-4.219,13.58,2
27.44,-1.258,1.641,5.605,4.144,4.263,0.2277,3325,12.24,9.875,8.56,7.806,0.05,1.005,-3.661,35.92,2
27.94,-55.77,2.63,13.94,5.029,2.792,0.4804,3743,13.38,11.47,10.37,9.56,3.85,1.051,-3.864,17.55,2
27.95,-53.5,2.264,6.98,4.848,4.165,0.3062,3415,15.12,12.85,11.57,10.8,3.8,1,-3.959,13.46,2
27.97,0.4336,2.097,2.535,16.02,5.911,0.2772,3381,14.47,12.16,10.87,10.11,2.85,1.001,-3.979,23.77,3
28.08,-13.34,3.296,2.739,22.83,7.08,0.3637,3491,16.07,13.88,12.64,11.86,5.3,1,-4.511,12.03,2
28.13,-17.11,1.661,4.213,6.689,4.456,0.2455,3332,14.88,12.51,11.19,10.42,2.85,1,-3.548,12.89,2
28.14,23.92,5.068,3.855,52.77,6.907,0.5821,4122,13.17,11.61,10.65,9.851,4.85,1,-3.472,36.47,1
28.7,-57.31,1.684,7.584,1.122,5.198,0.1426,3130,15.28,12.71,11.27,10.55,2.3,1.001,-3.548,35.3,0
28.7,-29.36,4.753,26.61,4.443,3.334,0.5904,4224,13.21,11.72,10.8,10.01,5.1,1.003,-4.178,23.26,1
28.77,-12.98,2.603,2.607,48.45,4.759,0.4819,3779,12.94,11.07,9.984,9.174,3.5,1,-4.517,28.82,2
29.56,-4.682,2.746,20.26,89.9,1.608,1.132,6383,9.789,9.255,8.859,8.596,5.65,1,-4.707,9.96,1
30.2,-13.24,2.843,10.49,7.565,3.248,0.4819,3779,12.94,11.07,9.984,9.174,3.5,1,-4.384,17.03,2
30.22,-80.99,2.436,5.891,4.123,5.806,0.2399,3324,14.95,12.57,11.24,10.48,2.85,1.006,-3.622,32.7,3
30.67,66.87,11.46,17.82,89.96,5.906,1.164,6138,8.511,7.923,7.502,7.214,4.3,1.022,-4.115,120.4,0
31.35,-30.05,3.192,1.851,29.52,8.791,0.3135,3418,15.61,13.35,12.07,11.3,4.35,1,-4.5,25.62,3
31.46,65.77,3.019,4.619,3.413,11.79,0.1832,3006,16.46,14.22,12.53,11.76,3.2,1.766,-3.852,14.75,2
31.49,23.7,2.029,7.057,3.666,4.352,0.2577,3356,13.99,11.66,10.35,9.592,2.15,1.003,-3.589,22.04,2
31.5,6.164,1.757,1.194,431.2,3.515,0.6382,4583,9.47,8.27,7.477,6.787,2.2,1,-4.637,20.22,1
31.86,-54.47,2.051,6.897,2.164,6.004,0.1801,3236,15.87,13.35,11.96,11.19,2.85,1.036,-4.39,24.15,1
31.89,-25.78,3.676,14.84,14.68,3.047,0.6409,4550,10.73,9.497,8.691,7.989,3.4,1,-4.846,45.52,0
31.9,-88.99,1.792,6.954,7.83,2.832,0.3909,3550,13.79,11.68,10.48,9.699,3.35,1.126,-4.329,14.67,1
32.47,-37.91,2.505,8.398,67,2.196,0.8026,5117,11.68,10.77,10.11,9.598,5.65,1,-4.68,11.73,1
32.62,-43.06,3.133,14.78,2.427,3.905,0.3621,3492,14.82,12.64,11.4,10.62,4.05,1,-4.029,16.75,2
33.08,-16.57,5.205,6.553,405.2,3.793,1.272,6194,9.381,8.799,8.386,8.109,5.4,1.03,-4.15,30.11,0
33.21,44.67,2.705,11.46,140.4,1.746,1.116,6081,9.597,8.989,8.559,8.264,5.25,1.002,-4.237,10.12,0
33.31,-31.03,1.96,1.165,31.87,8.735,0.2233,3289,16.43,13.99,12.63,11.87,4.05,1,-3.369,12.37,2
33.43,0.2077,3.809,15.79,602.6,1.623,1.488,9057,8.204,8.187,8.109,8.113,6.15,1,-4.135,7.415,0
33.58,-55.93,1.482,0.6024,153.9,6.7,0.3413,3454,15.19,12.96,11.71,10.93,4.2,1.022,-4.029,12.72,3
33.93,-15.28,1.859,2.149,93.54,3.428,0.5519,3980,13.27,11.59,10.58,9.765,4.55,1,-4.006,8.122,3
34.09,36.22,2.083,9.089,2.699,4.024,0.2622,3368,13.36,11.05,9.754,8.994,1.6,1,-4.427,35.39,2
34.21,-80.04,1.108,0.5115,127.7,2.926,0.2692,3363,15.7,13.36,12.05,11.29,3.95,1.03,-4.045,10.72,4
34.89,39.28,3.432,17.97,1.538,4.365,0.3257,3426,15.3,13.05,11.78,11,4.15,1.021,-4.114,19.26,2
36.28,-45.72,1.832,3.608,247.2,2.237,0.7713,5420,9.937,9.141,8.563,8.122,4.15,1.005,-4.731,18.38,0
36.46,76.86,2.446,17.31,2.25,2.742,0.3885,3549,15.05,12.94,11.74,10.95,4.6,1.069,-3.836,9.272,1
36.57,29.38,3.25,12.32,131.1,2.232,1.034,6209,9.641,9.069,8.652,8.367,5.2,1.003,-4.495,16.46,0
37.18,-65.76,1.993,0.5072,334.6,6.725,0.4461,3645,16.31,14.27,13.11,12.3,6.35,1,-4.584,7.705,3
37.29,45.73,1.917,5.687,173.3,1.812,0.9038,5470,10.52,9.733,9.172,8.755,5.15,1.007,-4.722,8.122,1
