RA,Dec,Rplanet,P,S/SEarth,K,Rstar,Teff,Vmag,Imag,Jmag,Kmag,Dist,Dil,log10,SNR,Mult.
168.3,-53.6,3.114,9.569,1.625,7.283,0.2005,3254,16.98,14.49,13.1,12.34,4.25,1.553,-4.511,11.25,1
168.4,70.88,1.211,1.324,20.59,4.579,0.1873,3141,14.6,12.6,11.06,10.28,1.9,1,-3.923,17.71,3
168.5,24.61,1.203,7.334,12.64,1.053,0.48,3823,11.52,9.714,8.658,7.853,2.2,1,-4.511,8.682,2
168.6,30.1,2.571,6.759,15.4,3.372,0.5096,3806,14.33,12.47,11.39,10.57,5.05,1.015,-3.772,7.948,2
168.7,-28.38,2.8,6.578,10.73,3.979,0.4379,3647,14.41,12.39,11.25,10.45,4.45,1.006,-4.578,10.77,2
169.1,15.97,3.356,8.38,14.81,3.807,0.5457,3967,12.77,11.07,10.06,9.251,4,1,-4.345,25.52,2
169.6,-17.26,1.813,0.9276,107.3,5.653,0.3796,3530,14.41,12.28,11.07,10.28,3.85,1,-3.85,11.7,2
170.8,68.48,3.966,30.69,8.97,2.235,0.7522,4898,12.45,11.45,10.73,10.15,6,1.126,-4.535,15.88,0
172.1,15.98,1.7,3.376,18.07,3.546,0.3686,3511,14.38,12.22,11,10.22,3.7,1.023,-4.355,7.876,2
172.3,-3.372,2.342,19.35,0.5815,4.662,0.1884,3239,16.21,13.7,12.3,11.53,3.3,1,-3.622,9.223,3
172.5,-11.65,7.805,12.69,579.2,3.502,1.536,8147,7.437,7.291,7.144,7.101,5.1,1,-4.407,36.91,2
173.2,-27.41,2.973,4.062,239.1,3.048,0.892,5333,9.446,8.607,8.012,7.564,3.9,1,-4.262,25.29,0
173.2,25.43,1.803,4.144,18.92,3.123,0.4227,3655,13.61,11.61,10.47,9.67,3.6,1.001,-4.511,10.53,3
173.2,-43.6,2.923,5.461,23.27,3.964,0.5312,3877,13.97,12.19,11.14,10.32,4.95,1.011,-4.541,13.13,2
173.5,-19.19,1.736,18.71,0.3928,4.072,0.1623,3027,14.41,12.19,10.53,9.753,0.95,1.487,-4.114,20.86,2
173.6,69.62,1.529,23.1,0.5924,2.57,0.2209,3302,13.89,11.48,10.15,9.386,1.55,1,-4.39,22.43,2
173.6,-5.016,1.909,0.5151,98.5,10.93,0.2281,3300,15.64,13.22,11.87,11.11,3.35,1.083,-4.35,11.34,3
173.7,19.79,3.34,11.31,42.49,2.7,0.7754,5082,10.95,10.03,9.361,8.834,4.8,1,-4.809,23.45,2
173.7,58.4,3.04,8.361,9.589,3.845,0.4736,3722,13.16,11.23,10.12,9.31,3.55,1,-3.95,22.8,2
174.6,39.28,2.213,9.91,5.019,3.004,0.3945,3576,12.84,10.77,9.59,8.806,2.5,1,-4.293,23.32,2
175.8,56.23,2.279,2.709,29.9,4.687,0.409,3573,14.65,12.55,11.36,10.57,4.35,1,-3.622,11.26,3
176.2,-86.32,1.959,5.535,451.5,1.645,1.239,6067,9.124,8.512,8.081,7.788,5,1.001,-4.858,11.17,1
176.5,50.82,1.543,0.8921,127.6,4.788,0.403,3557,14.82,12.7,11.51,10.72,4.45,1.125,-3.325,8.471,3
176.6,58.01,3.09,18.4,18.75,2.258,0.7269,4962,11.75,10.74,10.06,9.491,5.3,1.002,-4.123,13.11,0
177,-82.54,2.136,6.511,21.35,2.723,0.5527,3970,12.93,11.24,10.23,9.419,4.2,1.012,-3.296,7.803,2
177.3,-38.23,2.043,10.16,52.66,1.715,0.7802,5200,8.477,7.609,6.979,6.489,2.5,1,-4.853,20.64,0
177.4,43.52,1.575,1.269,47.78,5.154,0.3088,3427,14.61,12.36,11.09,10.32,3.35,1,-4.387,12.69,3
177.5,18.38,2.458,12.93,2.458,3.453,0.3322,3447,14.81,12.58,11.32,10.54,3.75,1,-3.697,10.45,2
178.2,67.42,2.118,6.658,3.112,5.268,0.2209,3302,13.89,11.48,10.15,9.386,1.55,1,-4.089,42.79,2
178.6,29.31,1.843,10.58,1.06,5.107,0.1622,3224,15.17,12.64,11.24,10.47,1.9,1.002,-3.923,15.42,2
178.7,33.18,1.272,0.9691,56.02,3.836,0.2732,3375,14.72,12.41,11.11,10.35,3.05,1,-3.548,11.22,3
178.8,20.76,1.946,3.37,172.3,2.536,0.7142,4973,11.5,10.48,9.805,9.235,5,1,-4.647,10.6,2
179,-49.57,5.516,14.38,27.77,3.986,0.7211,5129,11.35,10.45,9.8,9.285,5.1,1.067,-4.654,29.35,1
179.4,45.31,2.415,10.49,10.2,2.639,0.5356,3917,13.22,11.48,10.45,9.629,4.3,1.006,-4.584,9.782,3
180,-55.19,2.253,8.999,2.138,5.031,0.2245,3300,14.96,12.55,11.21,10.44,2.65,1.448,-4.407,26.95,1
180.1,-28.3,2.968,19.46,2.207,3.073,0.4123,3589,14.29,12.21,11.03,10.24,4.05,1,-4.364,9.907,3
180.3,55.23,1.593,0.8765,19.35,11.33,0.144,3006,16.97,14.69,13.03,12.24,3.15,1,-4.32,12.81,3
180.7,-45.03,2.232,2.531,20.41,5.621,0.3199,3434,14.31,12.07,10.81,10.04,3.15,1.255,-3.537,19.9,3
180.9,-23.97,2.424,11.96,4.223,2.994,0.4123,3589,14.29,12.21,11.03,10.24,4.05,1.001,-4.293,8.604,3
181.2,64.68,3.883,2.468,52.09,7.059,0.4875,3753,14.24,12.33,11.23,10.42,4.75,1.001,-4.497,29.04,3
182.1,38.18,2.23,14.41,0.5851,5.662,0.1575,3105,15.8,13.74,12.17,11.39,2.6,1,-4.072,12.75,2
182.9,86.1,2.066,4.38,419,2.126,0.9671,6039,10.73,10.11,9.663,9.348,6,1.039,-4.458,10.46,1
183.2,47.63,2.901,10.11,8.215,3.316,0.4905,3787,13.79,11.92,10.84,10.02,4.4,1.039,-4.449,13.64,2
183.3,16.31,2.845,7.955,60.13,2.703,0.7192,5075,10.03,9.069,8.429,7.888,3.7,1,-4.64,26.91,0
183.7,14.56,1.273,0.5539,232.1,3.493,0.3953,3563,14.09,11.99,10.8,10.01,3.7,1,-4.407,9.037,3
183.9,-37.68,2.04,3.312,13.26,4.864,0.3034,3437,12.24,10.02,8.772,8.011,1,1.012,-4.008,46.19,2
184.3,28.65,2.576,20.49,24.21,1.642,0.8128,5333,10.75,9.924,9.326,8.868,5,1,-4.767,12.2,1
184.5,-30.9,3.591,11.52,247.7,2.267,1.389,6295,8.572,8.022,7.623,7.357,4.85,1.003,-4.755,20.97,0
184.8,51.58,3.199,2.941,16.39,7.529,0.3179,3421,15.53,13.26,11.99,11.21,4.3,1.001,-3.852,19.74,3
185.2,26.94,1.587,20.09,0.683,2.871,0.215,3286,14.86,12.42,11.07,10.31,2.4,1,-3.61,11.27,2
185.4,-84.93,1.672,6.565,103.2,1.622,0.8072,5248,11.01,10.15,9.533,9.054,5.15,1.031,-4.767,7.987,0
185.9,-23.28,2.597,18.64,1.473,3.274,0.3281,3432,15.38,13.13,11.86,11.08,4.25,1,-4.541,8.175,2
186,-72.55,2.332,2.69,12.42,7.058,0.2494,3328,16.21,13.83,12.5,11.73,4.2,1.474,-4.517,17.13,2
186.6,-31.03,2.604,2.386,13.33,8.474,0.2363,3310,16.19,13.79,12.44,11.68,4,1.226,-3.61,17.04,3
186.8,24.29,2.763,19.19,22.3,1.889,0.751,5248,10.68,9.828,9.203,8.719,4.65,1.003,-4.668,16.35,2
186.9,55.72,1.473,0.5209,246.5,6.132,0.392,3541,14.67,12.54,11.34,10.55,4.2,1.005,-4.045,9.279,3
187.3,29.27,2.691,19.6,73.93,1.467,1.138,6124,8.486,7.887,7.46,7.168,4.2,1,-4.237,8.577,2
187.4,-44.11,2.802,2.197,63.18,5.314,0.496,3775,15.26,13.36,12.27,11.45,5.85,1.067,-4.477,12.03,2
187.5,71.29,1.774,5.899,8.458,3.103,0.3653,3504,14.31,12.15,10.92,10.14,3.6,1,-4.541,11.67,2
187.5,44.74,3.001,6.486,442.8,2.276,1.173,6577,9.042,8.555,8.2,7.974,5.15,1,-4.71,18.76,1
187.8,-73.24,3.057,11.42,1.627,5.909,0.234,3304,16.63,14.21,12.86,12.1,4.4,2.534,-4.219,13.48,1
187.9,-81.94,2.876,11.03,26.14,2.552,0.6755,4692,12.85,11.7,10.94,10.28,5.85,1.088,-4.927,8.445,3
187.9,30.08,1.741,0.8991,49.13,8.093,0.2356,3316,15.13,12.73,11.39,10.63,2.95,1,-3.852,23.95,3
188.3,81.24,1.826,2.082,16.19,6.408,0.2376,3307,16.69,14.28,12.93,12.16,4.5,1,-4.029,10.77,2
188.5,66.04,1.714,3.578,1579,1.561,1.345,7015,7.993,7.609,7.32,7.154,4.7,1,-4.482,9.437,0
188.8,-76.21,2.236,6.127,7.87,3.761,0.3643,3499,15.38,13.21,11.98,11.2,4.65,1.154,-3.468,9.617,2
189.6,32.43,1.635,0.582,553.5,4.74,0.5561,3995,12.37,10.7,9.704,8.891,3.7,1,-4.456,18.37,3
189.8,64.12,2.871,41.38,11.36,1.42,0.8543,5458,11.27,10.48,9.912,9.484,5.75,1,-4.659,7.558,0
190,-22.45,1.884,4.949,2.133,7.238,0.1481,3062,15.79,13.64,12.05,11.27,2.3,1,-4.493,13.57,2
190.1,-25.97,3.35,9.099,4.676,4.834,0.363,3505,14.32,12.16,10.93,10.15,3.6,1.073,-4.387,26.87,2
191,20.74,2.135,2.283,31.85,4.944,0.377,3521,14.51,12.36,11.14,10.36,3.9,1.001,-3.501,13,2
191.2,-16.91,2.243,20.06,1.134,3.021,0.2949,3406,13.91,11.64,10.36,9.597,2.5,1,-4.407,17.32,2
192.4,-27.08,2.473,5.295,8.937,4.542,0.3498,3470,14.89,12.69,11.44,10.67,4,2.022,-3.93,10.06,1
192.5,-69.16,3.907,1.943,8.915,18.86,0.1504,3206,16.76,14.95,13.54,12.74,3.95,5.251,-4.517,18.38,3
193.6,-86.01,3.546,3.08,13.28,8.776,0.291,3384,16.07,13.76,12.46,11.69,4.55,2.322,-3.589,17.49,3
194.3,60.15,2.337,31.81,18.11,1.233,0.877,5598,9.971,9.227,8.691,8.295,4.65,1,-4.871,11.1,1
194.4,11.35,2.782,6.499,112.5,2.801,0.7546,5433,11.23,10.44,9.862,9.42,5.4,1,-4.778,13.38,1
194.4,24.87,2.877,5.521,4.182,7.224,0.2298,3301,16.13,13.71,12.36,11.59,3.85,1.001,-3.95,14.82,2
194.8,-39.02,2.396,3.506,16.42,4.959,0.3601,3488,14.58,12.4,11.16,10.39,3.8,4.37,-3.772,7.776,2
194.9,14.94,3.771,13.92,44.27,2.539,0.8817,5297,10.37,9.512,8.905,8.45,4.75,1,-4.714,24.26,1
195.1,-16.29,1.036,0.701,108.8,1.874,0.3108,3425,13.69,11.44,10.18,9.415,2.45,1.035,-3.499,9.953,3
195.3,-75.82,1.857,19.24,14.03,1.428,0.6838,4793,10.6,9.518,8.794,8.169,3.8,1.038,-4.834,13.04,0
195.3,66.07,2.828,3.478,1439,2.474,1.505,6442,6.911,6.396,6.031,5.798,3.5,1.001,-4.393,22.13,1
195.5,-16.44,1.487,2.866,54.18,2.997,0.5243,3888,12.67,10.9,9.865,9.05,3.65,1,-4.006,8,3
196.4,82.34,2.304,18.83,1.114,3.26,0.2809,3377,15.92,13.6,12.3,11.53,4.3,1.001,-4.493,7.959,2
196.6,1.13,3.072,9.126,3.2,5.31,0.2954,3385,16.5,14.18,12.88,12.11,5,1,-3.687,7.458,2
197.1,66.9,2.25,18.42,1.787,2.696,0.3582,3491,14.08,11.91,10.68,9.899,3.3,1,-3.681,14.43,2
197.4,30.79,3.354,9.975,44.73,2.936,0.7255,5055,10.63,9.662,9.017,8.472,4.3,1,-4.785,33.41,1
197.8,81.37,1.031,6.78,2.166,1.373,0.1771,3235,15.6,13.09,11.69,10.93,2.55,1,-4.364,9.87,3
198.8,29.08,2.755,6.884,10.47,3.834,0.4475,3647,15.24,13.21,12.05,11.25,5.3,1,-4.23,7.707,2
198.8,56.85,2.91,21.18,0.4365,6.054,0.1677,3220,16.78,14.24,12.83,12.05,3.55,1,-3.599,18.83,2
199.5,27.28,2.456,14.19,27.51,2.035,0.7278,4976,10.17,9.175,8.506,7.936,3.75,1,-4.838,18.67,0
199.7,-71.23,2.274,7.802,13,2.847,0.5126,3823,13.76,11.93,10.86,10.05,4.55,1.458,-3.52,7.865,2
199.7,42.16,1.922,13.55,1.365,3.539,0.2395,3329,14.18,11.81,10.49,9.73,2.1,1,-4.384,25.47,2
200.7,37.11,3.149,8.583,1.908,7.574,0.2024,3257,16.61,14.12,12.74,11.97,3.9,1,-4.311,13.79,1
201,34.6,1.468,1.701,1329,2.303,1.008,5781,9.6,8.908,8.41,8.053,4.75,1,-4.492,7.799,2
201.1,62.44,6.342,4.071,213.4,6.281,0.8594,5260,10.56,9.698,9.083,8.614,4.85,1,-3.63,63.94,1
201.2,0.5172,2.332,6.153,2.618,7.474,0.1796,3222,17.04,14.51,13.11,12.34,4.15,1,-3.979,9.526,1
201.4,26.84,2.457,6.269,91.43,2.538,0.7162,5224,10.57,9.705,9.075,8.582,4.4,1,-4.774,17.59,1
201.6,42.14,2.681,3.15,57.37,4.268,0.5522,3995,12.12,10.46,9.468,8.657,3.45,1,-4.35,40.6,2
201.8,-53.24,1.868,6.611,8.071,3.038,0.3828,3541,13.2,11.08,9.887,9.107,2.7,1.123,-4.364,15.03,1
202.7,-67.14,3.855,7.389,1886,1.994,2.125,7943,7.382,7.219,7.065,7.015,5.7,1.015,-4.648,19.95,0
203.6,78.92,1.741,38.38,0.2147,2.947,0.1771,3235,15.6,13.09,11.69,10.93,2.55,1.001,-4.355,15.48,3
203.6,-30.38,1.847,7.043,2.345,5.095,0.1944,3248,16.26,13.76,12.38,11.61,3.45,1.029,-4.464,8.754,2
203.7,-2.255,1.967,7.199,57.57,2.057,0.6798,4948,8.088,7.092,6.419,5.844,1.5,1,-5.002,19.48,2
204.6,-28.93,1.789,7.35,123.1,1.709,0.8206,5610,9.559,8.825,8.292,7.894,4.1,1.006,-4.84,10.18,0
204.6,88.73,2.499,2.236,13.89,8.588,0.2286,3303,15.52,13.11,11.77,11,3.25,1.021,-4.311,40.86,3
204.6,0.4109,2.98,7.058,482.4,2.086,1.269,6730,8.201,7.753,7.425,7.224,4.6,1.007,-4.667,17.51,0
204.7,71.27,1.486,4.077,16.36,3.163,0.3984,3561,14.78,12.68,11.48,10.69,4.4,1.039,-4.072,7.399,2
205.6,-17.92,2.293,5.304,10.48,3.935,0.3785,3537,13.84,11.72,10.51,9.732,3.3,1,-3.487,9.323,2
205.9,61.28,1.291,0.5071,75.83,6.957,0.1903,3238,17.05,14.53,13.13,12.36,4.15,1,-4.387,8.032,4
206.2,53.05,2.138,1.973,24.82,6.126,0.296,3412,14.44,12.17,10.9,10.13,3.05,1,-4.456,29.78,3
206.2,69.35,1.304,5.731,7.963,1.964,0.3448,3480,13.02,10.84,9.613,8.843,2.15,1.002,-3.95,10.99,2
206.4,42.69,2.892,19.64,2.271,2.945,0.4201,3606,14.26,12.2,11.03,10.23,4.1,1,-4.493,18.76,2
206.5,45.67,2.599,9.539,223.1,1.744,1.255,6095,9.579,8.966,8.541,8.256,5.5,1.005,-4.493,11.5,0
206.5,45.4,2.241,10.37,5.322,2.875,0.4201,3606,14.26,12.2,11.03,10.23,4.1,1,-3.347,8.848,2
206.6,-30.16,2.802,11.48,1.7,5.279,0.2417,3317,16.17,13.77,12.43,11.67,4.05,1.02,-4.35,11.1,2
206.7,-49.82,2.932,11.28,2.322,4.706,0.2895,3393,15.44,13.15,11.86,11.1,3.95,1.113,-4.006,11.75,2
206.7,46.18,2.4,35.15,2.21,1.72,0.5479,3973,13.11,11.41,10.4,9.587,4.35,1.006,-3.959,9.441,2
206.7,17.44,2.215,9.357,3.661,3.517,0.3274,3438,15.37,13.12,11.86,11.08,4.25,1,-3.677,7.559,3
208.2,-46.28,2.132,1.716,120.4,4.246,0.5453,3945,13.56,11.85,10.83,10.02,4.75,1.258,-4.355,10.05,3
208.3,60.17,2.074,8.465,10.04,2.602,0.4845,3766,13.56,11.67,10.58,9.77,4.1,1.004,-4.293,13,3
208.3,36.34,2.915,9.628,34.17,2.643,0.685,4789,11.6,10.47,9.732,9.105,4.7,1,-5.009,12.96,0
208.8,-30.09,3.328,18.1,17.01,2.426,0.7013,4906,11.45,10.41,9.724,9.134,4.85,1.006,-4.839,19.09,1
208.9,52.34,2.743,11.98,24.06,2.383,0.6683,4747,11,9.874,9.132,8.493,4.05,1.001,-4.828,26.05,1
209.2,82.41,2.184,3.715,4.83,7.924,0.1771,3235,15.6,13.09,11.69,10.93,2.55,1.27,-4.471,29.58,3
209.6,38.46,2.339,5.615,15.48,3.432,0.4564,3745,12.37,10.47,9.379,8.576,2.75,1.001,-4.045,25.66,2
209.7,73.45,1.916,2.241,1006,2.486,0.948,6067,11.06,10.45,10,9.687,6.3,1,-4.7,12.29,2
209.7,-43.57,2.284,14.16,2.907,2.795,0.3856,3538,14.81,12.68,11.47,10.69,4.3,1.042,-4.464,7.588,2
210.3,63.21,1.759,1.822,77.81,3.725,0.4845,3766,13.56,11.67,10.58,9.77,4.1,1.009,-4.345,10.68,3
210.7,27.13,2.028,6.773,6.093,3.573,0.3391,3453,14.59,12.37,11.12,10.35,3.6,1,-4.178,11.11,1
210.9,-2.895,2.408,17.59,2.255,2.675,0.3912,3562,14.2,12.1,10.91,10.13,3.8,1,-4.178,9.2,1
210.9,57.85,1.264,3.672,400.3,1.054,0.8881,5861,9.256,8.591,8.111,7.765,4.2,1,-4.727,7.343,3
211.2,16.92,2.838,2.178,71.18,5.288,0.5091,3845,13.59,11.77,10.71,9.896,4.4,1.001,-4.511,18.56,2
211.3,-57.11,2.069,6.189,13.84,2.947,0.4682,3719,13.73,11.8,10.69,9.884,4.1,1.548,-4.321,8.384,2
211.4,66.51,1.437,1.132,104.2,4.153,0.424,3607,14.28,12.22,11.05,10.26,4.15,1,-3.95,11.19,3
212.1,63.65,1.829,4.308,15.76,3.3,0.4028,3574,13.66,11.58,10.4,9.608,3.35,1.571,-3.501,11.61,2
212.1,23.65,1.694,1.761,50.32,4.162,0.3981,3561,14.29,12.18,10.99,10.2,3.9,1.003,-4.219,9.827,3
212.4,22.79,2.335,2.442,16.91,6.564,0.2796,3376,15.68,13.36,12.06,11.29,4.05,1,-2.773,8.74,3
212.7,55.76,2.31,6.739,5.652,4.224,0.3241,3423,15.88,13.62,12.34,11.57,4.7,1,-4.045,9.931,2
212.9,77.08,2.868,17.96,114,1.7,1.191,6383,9.619,9.087,8.695,8.435,5.6,1,-4.291,9.117,2
213.2,51.67,2.667,31.67,13.01,1.518,0.7974,5284,11.41,10.56,9.949,9.477,5.55,1,-4.855,10.88,1
213.5,63.17,2.544,13.95,79.34,1.667,0.9871,5875,10.42,9.75,9.27,8.929,5.6,1,-4.728,13.05,1
214.1,58.5,2.957,21.2,1.246,3.517,0.3296,3433,15.67,13.42,12.15,11.37,4.55,1,-4.511,11.53,2
214.3,5.376,1.483,0.7203,260,4.986,0.4808,3738,13.75,11.83,10.72,9.911,4.2,1,-4.311,9.461,1
214.7,64.12,2.017,6.238,112.6,1.944,0.8384,5188,11.41,10.52,9.878,9.386,5.55,1,-4.84,9.69,1
215,75.82,4.651,31.4,29,2.446,0.9652,5916,10.89,10.24,9.765,9.427,6.05,1.104,-3.621,12.48,1
215.6,64.59,3.672,13.71,3.369,4.29,0.4028,3574,13.66,11.58,10.4,9.608,3.35,1,-3.622,33.91,2
215.7,35.67,1.856,5.999,214.4,1.732,0.914,5834,9.819,9.146,8.657,8.307,4.8,1,-4.71,8.538,0
215.8,67.44,6.554,8.546,109,5.066,0.8639,5675,11.54,10.82,10.3,9.915,6.25,1.002,-4.799,55.71,3
215.8,-47.78,1.985,3.078,12.96,5.057,0.2868,3396,14.9,12.62,11.33,10.57,3.4,1.269,-3.677,11.1,3
215.9,82.89,2.357,9.963,371.8,1.446,1.466,6637,8.127,7.662,7.326,7.12,4.8,1,-4.551,13.2,1
215.9,-32.94,3.448,11.97,1.488,6.604,0.2289,3305,15.11,12.71,11.36,10.6,2.85,1.026,-4.072,38.05,2
216.6,13.52,2.007,0.6551,30.5,14.9,0.1524,2999,16.53,14.25,12.55,11.77,2.8,1.005,-4.409,20.44,1
216.9,3.344,3.096,20.29,0.5947,7.375,0.1914,3112,15.8,13.76,12.19,11.42,3.05,1,-3.979,13.69,2
216.9,44.64,1.828,7.211,6.653,2.912,0.3713,3520,14.33,12.19,10.97,10.19,3.7,1,-4.517,9.301,2
217.1,22.26,2.742,19.03,2.152,2.894,0.3999,3589,13.43,11.37,10.19,9.404,3.15,1,-3.85,20.58,2
217.2,-25.22,2.766,2.34,38.55,5.785,0.4198,3596,14.23,12.16,10.98,10.19,4.05,1.003,-4.39,22.66,2
217.8,39.23,2.245,6.591,3.915,4.984,0.2548,3338,15.59,13.22,11.9,11.13,3.65,1,-3.562,10.18,1
217.9,58.77,2.512,5.661,5.84,5.262,0.2887,3378,16.11,13.79,12.49,11.72,4.55,1,-3.836,9.871,3
218.2,-6.477,3.575,14.76,1.518,5.476,0.2764,3367,15.73,13.4,12.09,11.32,4.05,1.001,-3.61,18.69,1
219.2,25.34,1.798,5.216,14.81,2.862,0.4405,3642,14.21,12.19,11.04,10.24,4.25,1,-3.487,7.379,2
219.3,-30.97,2.974,6.323,8.04,4.835,0.3741,3511,14.8,12.64,11.42,10.63,4.15,1,-4.029,15.83,2
219.4,37.39,2.421,20.58,45.85,1.392,0.9927,5821,9.943,9.262,8.774,8.426,5.1,1.002,-4.712,9.643,0
219.4,-50.28,1.87,10.86,1.57,4.053,0.2169,3292,14.51,12.09,10.74,9.982,2.1,1.167,-3.347,13.2,1
220.1,33.09,1.936,1.393,19.4,9.336,0.1885,3241,16.77,14.25,12.86,12.09,3.85,1,-3.622,7.468,2
220.5,84.17,3.122,6.863,66.21,3.006,0.7252,4966,10.73,9.765,9.068,8.509,4.3,1.051,-4.815,48.15,2
220.6,24.34,2.367,13.08,25.88,1.867,0.7212,4887,10.8,9.802,9.077,8.492,4.25,1,-4.938,16.15,1
221,-49.36,2.044,7.107,4.139,4.064,0.2811,3381,14.98,12.68,11.39,10.62,3.4,1.817,-3.67,8.355,2
221.3,9.029,1.206,0.7186,122.5,2.955,0.3419,3464,14.55,12.34,11.09,10.32,3.6,1,-3.468,7.325,3
221.8,26.02,1.872,1.72,54.08,4.472,0.4037,3596,13.75,11.69,10.51,9.725,3.5,1,-4.32,15.31,2
222.1,75.29,2.45,32.69,23.23,1.22,0.9925,5715,9.734,9.02,8.513,8.148,4.8,1,-4.784,12.34,0
222.3,33.03,2.081,28.6,11.7,1.265,0.7378,5152,11.12,10.23,9.583,9.076,4.95,1,-4.731,8.836,0
222.3,59.75,2.872,9.808,2.679,4.96,0.2812,3384,15.19,12.88,11.59,10.82,3.6,1,-3.525,25.92,2
222.4,1.139,2.384,19.45,0.5041,5.084,0.1714,3225,16.67,14.14,12.73,11.96,3.5,1.022,-4.584,11.39,2
223.1,32.73,1.393,4.652,11.7,2.576,0.3663,3502,14.31,12.14,10.92,10.14,3.6,1.003,-4.384,8.543,1
223.5,-4.261,2.401,2.364,868.9,2.975,0.9305,6026,9.52,8.899,8.449,8.132,4.7,1.002,-4.694,21.24,0
223.6,52.1,2.759,20.21,4.29,2.372,0.5389,3925,14.4,12.66,11.63,10.8,5.5,1,-4.355,7.547,2
223.8,45.77,2.422,6.352,21.51,3.071,0.5464,3972,13.11,11.42,10.41,9.594,4.35,1.003,-3.779,10.34,1
224,-9.135,2.045,4.24,14.18,3.792,0.3806,3535,14.39,12.26,11.05,10.27,3.85,1.004,-4.574,9.34,2
224.8,34.47,2.762,4.63,13.2,4.739,0.3905,3554,15.14,13.02,11.82,11.03,4.7,1,-3.347,12.9,0
224.8,31.22,2.952,19.99,5.465,2.449,0.5712,4070,13.11,11.51,10.54,9.726,4.65,1,-3.836,8.707,1
225.1,40.34,2.164,2.253,22.71,5.722,0.3141,3417,15.92,13.65,12.37,11.59,4.65,1.004,-3.487,10.76,2
225.4,41.13,1.258,0.5339,293.4,3.224,0.4284,3632,13.49,11.47,10.31,9.516,3.45,1,-4.457,16.42,3
225.6,46.45,2.12,10.5,2.745,3.427,0.3013,3420,14.48,12.22,10.95,10.19,3.15,1,-3.622,16.07,2
225.7,63.19,1.769,2.422,519.1,2.202,0.9126,5408,9.469,8.652,8.076,7.649,4.05,1,-4.714,23.36,0
225.9,-79.05,2.938,19.07,2.114,3.173,0.3971,3563,13.46,11.37,10.19,9.402,3.1,1.072,-4.045,28.86,2
225.9,78.11,3.887,32.66,40.3,1.76,1.153,6180,10.77,10.18,9.764,9.479,6.55,1.001,-4.458,14.94,1
226,46.89,3.055,10.34,55.76,2.409,0.809,5248,7.546,6.692,6.074,5.597,1.7,1,-3.956,22.72,2
226.4,72.57,12.73,3.913,321.4,11.6,0.937,5572,9.546,8.788,8.25,7.856,4.35,1,-4.731,844.4,2
226.8,80.37,3.44,4.908,159.9,3.451,0.8179,5297,10.02,9.183,8.577,8.113,4.25,1,-4.746,68.84,0
226.9,63.87,1.089,1.09,1310,0.9072,0.8776,5309,10.16,9.314,8.712,8.257,4.55,1,-4.716,8.724,1
227.3,35,2.036,2.602,7.805,10.81,0.18,3013,17,14.76,13.07,12.3,3.7,1.057,-3.95,10.24,3
227.3,47.33,2.8,2.78,34.99,5.265,0.4441,3658,14.46,12.45,11.31,10.5,4.55,1,-3.52,22.84,3
227.4,40.5,2.606,12.35,8.404,2.642,0.5411,3936,14.47,12.73,11.71,10.89,5.6,1,-4.5,8.868,2
227.6,-80.25,3.218,10.07,17.49,3.18,0.6036,4264,12.86,11.42,10.52,9.739,4.9,1.004,-3.325,11,1
227.9,5.065,3.163,16.73,226.6,1.497,1.538,6918,8.227,7.824,7.533,7.367,5.2,1.012,-4.71,11.11,3
228,-40.15,1.761,5.996,5.739,3.383,0.3037,3421,14.25,12.01,10.74,9.982,3,1.007,-3.501,8.347,1
228.1,56.83,1.385,2.726,46.34,2.443,0.4803,3804,12.78,10.94,9.871,9.062,3.4,1.004,-4.477,12.03,3
228.3,78.86,2.547,19.08,1.403,3.223,0.3255,3422,16.13,13.86,12.58,11.81,4.95,1.002,-4.541,9.754,2
228.3,77.47,2.434,8.558,4.085,4.036,0.3255,3422,16.13,13.86,12.58,11.81,4.95,1.156,-4.23,11.13,2
228.3,-1.276,1.964,5.883,5.224,4.15,0.279,3382,15.11,12.8,11.51,10.74,3.5,1,-4.311,8.863,2
228.4,56.15,1.847,2.049,3328,2.14,1.601,6324,9.307,8.765,8.365,8.099,5.9,1.001,-4.772,8.017,1
228.9,-1.622,3.476,6.364,465.3,2.814,1.183,6471,9.017,8.506,8.128,7.881,5.05,1,-4.156,14.55,0
228.9,56.06,1.451,0.8894,154.2,4.55,0.4393,3626,14.82,12.77,11.61,10.81,4.8,1.004,-4.433,9.692,3
229.5,61.01,3.919,2.302,56.42,7.277,0.4865,3747,14.87,12.94,11.84,11.02,5.35,1.041,-4.089,41.67,3
230.7,45.36,2.979,5.617,9.877,4.95,0.3807,3537,13.63,11.51,10.31,9.524,3.1,1.003,-4.006,39.09,2
231,-70.76,3.425,8.358,15.95,3.871,0.5589,3992,12.76,11.09,10.09,9.278,4.1,1.024,-4.541,10.37,2
231,69.11,1.884,4.055,618.3,1.732,1.194,6053,10.67,10.05,9.612,9.321,6.45,1.001,-4.87,7.922,1
231.4,44.91,1.995,2.506,635.6,2.405,0.9434,5675,11.04,10.32,9.797,9.418,5.95,1,-4.688,11.06,2
231.6,67.07,2.401,6.556,724,1.768,1.621,6412,9.906,9.381,8.999,8.75,6.6,1.001,-4.648,8.54,1
